"","VIDEO_ID","SIZE","VIEWS.x","LENGTH","BITRATE.x","V4","V5.y","RATE","CLASS"
"107","0ITrQXES8kU",13801621,60663,333,41446.3093093093,"Entertainment",333,4.77,"1"
"108","0iTtarBUX5E",2866811,8402,68,42158.9852941177,"Sports",68,5,"1"
"109","0J5VJJPMxLc",7721740,838,189,40855.7671957672,"Film & Animation",189,4.6,"1"
"110","_0jbhnmEwYo",3035739,60582,89,34109.4269662921,"Film & Animation",89,4.9,"1"
"111","0JDkjgFoYJM",12787152,3534,319,40085.1159874608,"Sports",319,4.11,"1"
"112","0jI4U9iemeA",15458679,49170,376,41113.5079787234,"News & Politics",376,4.66,"1"
"113","0J_kC35sv50",22874527,536,563,40629.7104795737,"Music",563,4,"1"
"114","0JpD5skqGOo",9771604,24130,233,41938.2145922747,"Music",233,4.76,"1"
"115","0JvO2stsllo",11727928,47309,289,40581.0657439446,"Comedy",289,4.64,"1"
"116","0JwXMMXDmVU",14824593,350589,409,36245.9486552567,"Gadgets & Games",409,4.81,"1"
"117","0K7BpsaoRVU",18740921,12341,458,40919.0414847162,"Howto & DIY",458,4.46,"1"
"118","0KNQirIKdcg",2620540,268147,65,40316,"Film & Animation",65,4.03,"1"
"119","0KsulQhdsNA",7250048,6947,172,42151.4418604651,"Music",172,4.75,"1"
"120","0L1SetK77L0",5697392,215,226,25209.6991150442,"News & Politics",226,5,"1"
"121","0l8iahhNGgw",6335654,55280,179,35394.7150837989,"People & Blogs",179,4.49,"1"
"122","-0LF3-P9Lx4",2479270,342,61,40643.7704918033,"Music",61,3,"2"
"123","0lt5HTzRbIk",23415497,37415,569,41152.0158172232,"Music",569,4.77,"1"
"124","0MkmdRP2lGA",9147165,6760,221,41389.8868778281,"Entertainment",221,3.94,"2"
"125","0mNxN_PVzwI",14613281,3743,353,41397.3966005666,"Film & Animation",353,4.29,"1"
"126","-0mPoTbxXMk",27078697,1965,657,41215.6727549467,"Sports",657,4.92,"1"
"127","0N09BIEzDlI",3835332,7965,108,35512.3333333333,"Howto & DIY",108,2.11,"3"
"128","0neqxLOhtN0",24818360,2079,597,41571.7922948074,"Howto & DIY",597,4.23,"1"
"129","0Nfyw2KYHWw",11515032,19228,278,41420.9784172662,"News & Politics",278,3.5,"2"
"130","0NJToRlmvds",3373635,10902,100,33736.35,"Howto & DIY",100,4.58,"1"
"131","0nsIGt6XU5M",26884207,63209,651,41296.7849462366,"Comedy",651,4.84,"1"
"132","0NTtjOZe4ko",4627441,803,113,40950.8053097345,"Music",113,5,"1"
"133","0NxJ5BudBug",4892431,6092,231,21179.354978355,"Music",231,3.85,"2"
"134","0o6yrdInw6s",11371214,6734,452,25157.5530973451,"News & Politics",452,4.39,"1"
"135","0o_J5QzQs3g",11603823,77811,300,38679.41,"Comedy",300,4.49,"1"
"136","0ONuHweGaOk",1121665,7436,27,41543.1481481481,"Music",27,0,"5"
"137","0pEOZkrk6Vw",385702,18096,9,42855.7777777778,"Comedy",9,2.24,"3"
"138","0PfVjmnTmZA",9395981,3642,224,41946.34375,"People & Blogs",224,4.72,"1"
"139","0pS60aixnNs",3648169,30430,91,40089.7692307692,"Music",91,4.67,"1"
"140","0puzIn3TnZU",1126258,1369,30,37541.9333333333,"News & Politics",30,5,"1"
"141","0PvF-k_eLco",7806427,43383,189,41303.8465608466,"Music",189,4.71,"1"
"142","0qAuqq1LFnU",10385288,304038,302,34388.3708609271,"Entertainment",302,3.95,"2"
"143","0Q_hSXqsmTA",8035805,151156,229,35090.8515283843,"Film & Animation",229,4.71,"1"
"144","0qINiw6ub5U",6415647,121985,158,40605.3607594937,"News & Politics",158,4.33,"1"
"145","0qovqYNaHgQ",1038173,2058,29,35799.0689655172,"Comedy",29,3.45,"2"
"146","0qq_h4ZVxTE",12337419,49572,295,41821.7593220339,"Music",295,4.82,"1"
"147","0QsG0D-MLp4",15844070,108326,385,41153.4285714286,"Gadgets & Games",385,4.78,"1"
"148","0qTnkbcKyFg",11696456,95381,280,41773.0571428571,"Music",280,4.92,"1"
"149","0rP1xa9LyqM",1277558,187,56,22813.5357142857,"Comedy",56,3.75,"2"
"150","0rZxEeOPEg4",35979646,21914,875,41119.5954285714,"News & Politics",875,4.27,"1"
"151","0S1EWaJt_IM",10900354,1675,303,35974.7656765677,"Music",303,4.86,"1"
"152","0S8wBNoiv90",7767067,131147,190,40879.3,"Comedy",190,4.83,"1"
"153","0scGA_oclIU",11039095,700,267,41344.925093633,"News & Politics",267,5,"1"
"154","0SKhf26CQXI",1643061,562,45,36512.4666666667,"News & Politics",45,5,"1"
"155","0smdaQL6Mlg",6286086,43097,157,40038.7643312102,"Gadgets & Games",157,4.64,"1"
