"","USER_ID","VIDEO_ID","SIZE","VIEWS.x","LENGTH","BITRATE","UPLOADS","FRIENDS"
"2211","cmant","qLRJVk8wZ-0",884197,528,23,"299.426",41,NA
"2668","darvishjo","jsovhULAkNo",14685079,528,357,"328.459",351,NA
"3437","environmentalist21","nBXYH4dcbhg",2828333,528,87,"257.564",38,NA
"10427","sonnyday","pDQst6O1tFg",1064795,528,25,"330.778",14,NA
"921","Babyboy464","RF09DYRRAV0",13293081,527,319,"332.784",6,NA
"6773","markapsolon","l_cTLXMENbQ",14660218,527,351,"334.12",75,NA
"7145","michaelbeckham","xQRW7YCXe68",3112785,527,76,"327.005",49,NA
"7206","MikeTheServer","UslvEXS6w5c",505818,527,61,"67.4087",49,NA
"10252","Slewinca","UVYWNqgOWHw",12688261,527,329,"307.786",38,NA
"10536","ssbmmaster29","oDFjHbw3hH0",6560300,527,162,"322.772",5,NA
"11332","TheXcorps","iLEHnJc8z7I",14208091,527,347,"326.682",61,NA
"11524","Toozleb00p","lhbZefoayyY",8334005,525,232,"285.916",39,NA
"1","0000000000000000bomb","XnKy1sik1v8",8905214,524,216,"328.57",22,NA
"4884","iloverentx525600","kno8MTZH_aU",3972390,524,96,"331.004",9,NA
"5308","jetsand","XPasXFOmiM8",22151571,524,535,"330.592",125,NA
"12784","ZarlaSheenaza","eksmD50lfsc",2856053,524,71,"320.477",325,NA
"807","atomicpuppet","rGQdXN6Dbk0",643282,523,17,"288.142",30,NA
"12434","wowguide","5Wu11x2b-jA",12292559,523,297,"330.34",189,NA
"12511","Xelanderthomas","LJCU80VLtFM",4141334,523,97,"339.789",148,NA
"4462","haku12","PVCwlei2HVI",5732519,521,236,"193.859",6,NA
"8520","PaulW2007","ts4LTCDxrSg",21510333,521,595,"288.772",33,NA
"8911","pozdesign","g9TFwR55k7M",25418797,521,611,"332.422",47,NA
"9843","scudmonstery","7t1UT39MKiM",6497066,521,158,"327.256",16,NA
"120","aabbadessa","YSa8b4GI6M8",16396961,520,394,"332.591",19,NA
"7758","namastemedia","CUwgy-uGTck",12448956,520,302,"328.85",29,NA
"12678","youngdems","U4Y2-LQwtxg",12582516,520,304,"331.051",80,NA
"6642","MagickTv","xMqh78Jq43A",24140649,519,583,"1.96906e+136",389,NA
"10202","sjksahdjkahkjhkjashk","rfCedZnzEYE",8087281,519,189,"340.082",5,NA
"12062","viewimages","DGaMQa9bs6Q",3025945,519,175,"137.182",25,NA
"391","alinestor","6WQ0VA_YPiw",8265214,518,199,"331.402",17,NA
"9120","ranb123","NvamSBVuez4",177480,518,5,"244.707",8,NA
"9891","seeprogress","XVrH9IxFFAw",8475317,518,342,"197.885",462,NA
"11157","thedanieltatman","VBoeRqPgxMI",12514987,518,351,"284.504",8,NA
"2122","christandcoffee","DNw3qZdd1MY",11479248,517,279,"328.77",12,NA
"6081","LabelNetworks","5iff3pDpRR8",16582521,517,406,"327.117",97,NA
"3284","EdDruckman","IiHNMW3rJLw",14135344,516,348,"324.643",32,NA
"3899","frightcatalog","cLQnoV6muQA",1764802,516,43,"320.562",58,NA
"5286","JenTheOneAndOnly","dlTm5xseRZI",16476368,516,398,"330.476",20,NA
"7089","messville","XpKh79XngZU",14346275,515,340,"336.388",72,NA
"9755","sauer3436","-m7XbY3UrE8",22122782,515,538,"328.569",4,NA
"11337","TheXcorps","qNI0ueWmrL0",17030225,515,416,"327.455",61,NA
"4449","Hadukenjeckt","oNh4FngRUm4",8993163,514,534,"134.551",263,NA
"4944","indigenousblue","G8vjO8Mcek8",17639665,514,486,"290.351",108,NA
"8126","NothingLiquid","kaOlnqcc_6I",12714214,514,308,"329.883",54,NA
"18","10milesfromnowhere","3k96p2f-Fl8",3974398,513,107,"295.07",130,NA
"375","alexeibono","7rCW4AbhGhQ",883606,513,17,"393.718",150,NA
"3165","DrRRutledge","GgjHiD4asa0",17880799,513,596,"239.79",424,NA
"11656","TsundereCouple","yiWhheX67SE",294427,513,10,"215.647",16,NA
"1219","BillyNuzzoPresents","ws-7Q4uPb64",16816195,512,410,"327.891",13,NA
"11655","TsundereCouple","irkooqlammY",637519,512,25,"203.909",16,NA
"1713","bwkitty12","qX0ebC5c2DE",13651343,511,329,"330.134",180,NA
"7329","MLITB","SGanenzutf0",1451203,511,41,"275.369",63,NA
"3758","footage123","nC1E8pKFErg",24222044,510,594,"325.89",63,NA
"4510","harlemscash","ORfAz8_FyZk",2015786,510,222,"72.6218",24,NA
"6839","mastercody","ZvZOmXI8H6M",11892041,510,296,"320.794",4,NA
"221","Adnan959","jSvfsNAvQG8",17137693,509,412,"332.318",334,NA
"2058","chico75pi","ixDPVp-5Ly8",15591650,507,433,"287.738",94,NA
"6990","Medialink","bK4ivyPWMQ4",8442274,507,203,"331.567",557,NA
"4339","gregorysburnett","SAAioLhw5mk",3421768,506,82,"333.58",1,NA
"1226","birdiesr","M_ws0PSznHI",7911031,505,192,"328.327",29,NA
"3531","EvilTemplar007","6EFE9dpao78",7773292,505,173,"357.212",1,NA
"3540","ExerciseTV","ciWW8DdN4Y4",8200015,505,203,"322.835",55,NA
"5794","kennyg101","Z8MkzFf3iWU",3446103,505,150,"183.31",7,NA
"6954","MCVALKRIE","EFd378mBUBw",8873436,505,210,"337.916",29,NA
"7699","mypctalks","1ysV6xKpMV8",2937896,505,69,"336.344",8,NA
"10874","tago98","uOWqeAmxX2s",14957366,505,359,"332.335",43,NA
"4144","Ghostn0va","Abq0u2iC9qY",7150098,504,173,"329.27",26,NA
"10537","SSGLuceyGirl","CSAhuwFKaFI",8476906,504,200,"338.106",133,NA
"12352","wildhokum","h8vNkWS2E0k",5838724,504,140,"332.148",35,NA
"2864","Dewfrost","pZ_WIoboEVs",11445774,503,273,"334.667",62,NA
"3364","ellaskins","nBD6kzPXuhM",10258370,503,283,"289.478",1642,NA
"11144","TheDaily","RDL53kDGhy4",4699876,503,112,"333.746",157,NA
"12619","YamisXFallenXAngel","-YDabO0H7P0",21273987,503,510,"332.898",132,NA
"235","adycousins","YprenWrK7jo",24599658,501,604,"325.798",408,NA
"1813","caromalta","Oq3ycYt3rXo",3601075,501,100,"286.655",77,NA
"2084","chinszuhan","4GnVMAj6QZY",10486779,501,253,"330.318",803,NA
"7859","NeoBen","7jg9eZruiwY",64212496,501,1551,"-2.93501e-303",87,NA
"11597","tresb","tYXU_Z_limE",11259679,501,269,"334.76",11,NA
"1752","californiasonshine","Vh_8UMK2tCs",14898192,499,356,"334.375",23,NA
"3542","ExileOnMassSt","5S_yl0ZgguQ",17182033,499,416,"330.193",17,NA
"4416","gwkell","hiueF1Wutsg",7806014,499,189,"329.874",24,NA
"6425","Loquesto","gP11FGl_9F4",10332660,499,248,"332.478",20,NA
"9936","sessionswith","pDHOdt8VOPg",24550367,499,597,"328.38",27,NA
"7178","mikaelmedq","ByayPngC76U",13477472,498,603,"178.605",4,NA
"9647","saher123","c9qyNeY5yfU",964785,498,61,"64.3423",12,NA
"8405","pajamadude15","5wdN3S9ocT8",8369114,497,209,"319.534",132,NA
"2334","cooptvberlin","sfH3LTWFwYQ",14381792,496,400,"286.686",133,NA
"2390","CrazycatExtreme","6IjpUf7u6s4",5582671,496,135,"329.764",70,NA
"3896","frightcatalog","wTcFe7vjSzw",1458171,496,36,"315.159",58,NA
"6475","lovesarevolution","dbiUh7NBxpk",20559914,496,249,"658.278",35,NA
"7727","Naelok","CN3PTgNk3gI",19601234,496,551,"284.431",15,NA
"10289","smellysockgirl","ZzhGBYKb_WQ",5671509,496,226,"200.506",21,NA
"1099","benczc","mSwLwqBFz3M",1327437,495,32,"326.443",166,NA
"2988","Divin3Plagu3","3yAfqRjCXBo",14651010,495,352,"332.1",20,NA
"3688","fitz1888","ZRGeuzsuDxU",12055713,495,330,"291.637",21,NA
"3706","flashdunker","H0kDqSg0sY0",8668057,495,241,"287.558",29,NA
"11011","techvids052006","jWYUo-tlY0g",17238099,495,419,"328.445",651,NA
"1561","BrettVincent","bNLS7iB8Rw8",10208269,494,268,"304.098",44,NA
"3196","druwin","_pSOe1lQ6AQ",20952637,494,530,"316.048",36,NA
"2109","ChrisEdwards2004","HelHCqN8A6o",26644455,493,646,"329.628",147,NA
"3539","exciting","3ri0L4IZ9o8",7292264,493,176,"-1.87231e+085",51,NA
"9264","Renegaderz","CESIZgQUaxU",637671,493,25,"197.675",17,NA
"10090","shiryu85","z0ulIkqfOW8",1048559,493,26,"319.521",45,NA
